Id,SalePrice
1461,111101.7396
1462,124716.8251
1463,182621.8257
1464,195831.0813
1465,209002.1371
1466,166817.8178
1467,157940.7873
1468,156574.485
1469,219188.2292
1470,122147.1909
1471,149061.3474
1472,100437.6217
1473,90727.17165
1474,145659.8776
1475,105302.8272
1476,378125.2697
1477,262558.1896
1478,320505.1408
1479,308664.9018
1480,462110.9732
1481,315872.4952
1482,210813.8425
1483,176423.8422
1484,165007.2095
1485,179059.928
1486,189624.908
1487,333787.3609
1488,220176.5419
1489,205809.8539
1490,255623.8853
1491,200305.2448
1492,105652.0021
1493,198027.9176
1494,309805.7646
1495,289410.9781
1496,243891.3582
1497,170168.9759
1498,171814.452
1499,157603.0469
1500,148355.21
1501,157940.7873
1502,157940.7873
1503,329670.8936
1504,235135.7774
1505,222551.4219
1506,157940.7873
1507,248728.4616
1508,157940.7873
1509,154481.3635
1510,146069.46
1511,158538.9022
1512,169196.9887
1513,157940.7873
1514,168254.6145
1515,201064.8817
1516,152190.5939
1517,183140.6811
1518,118187.6503
1519,213426.671
1520,157940.7873
1521,131913.0548
1522,184275.7042
1523,105319.6226
1524,119402.7634
1525,115148.3361
1526,99751.5715
1527,97869.77762
1528,128267.4982
1529,160397.4116
1530,213711.9546
1531,143488.7135
1532,99004.18893
1533,168294.2855
1534,123319.8222
1535,145814.061
1536,157940.7873
1537,51549.40268
1538,161264.3692
1539,207916.2348
1540,126237.9234
1541,143618.1457
1542,163928.8349
1543,157940.7873
1544,79452.22064
1545,113221.4249
1546,143038.934
1547,137501.5825
1548,148841.8375
1549,125250.6349
1550,144517.1625
1551,108897.5999
1552,153351.3577
1553,156250.3318
1554,109475.2453
1555,148050.5962
1556,58650.7817
1557,140108.228
1558,105119.3092
1559,157940.7873
1560,115951.5085
1561,112191.4514
1562,132965.9083
1563,130253.4882
1564,157940.7873
1565,147806.1306
1566,157940.7873
1567,72407.2871
1568,157940.7873
1569,134793.931
1570,123848.5292
1571,76864.6615
1572,146725.0585
1573,258986.9023
1574,157940.7873
1575,227200.3837
1576,228726.8131
1577,187337.2017
1578,155866.2008
1579,125555.637
1580,157940.7873
1581,155679.1976
1582,138143.6522
1583,270174.5866
1584,218621.3256
1585,157940.7873
1586,68189.11041
1587,98583.84459
1588,158866.1032
1589,103937.847
1590,125844.6615
1591,85618.69782
1592,128397.8178
1593,157940.7873
1594,142754.6292
1595,114471.7088
1596,230130.4292
1597,212684.0981
1598,210361.6421
1599,198483.6182
1600,173922.9569
1601,47654.18051
1602,129951.3397
1603,35667.97803
1604,271898.7324
1605,225946.9888
1606,152785.1953
1607,157940.7873
1608,206448.465
1609,194203.7378
1610,149838.6567
1611,134894.4171
1612,187312.0658
1613,157940.7873
1614,160279.3703
1615,92296.98591
1616,62512.7259
1617,77709.67266
1618,135306.9669
1619,155563.577
1620,188417.9028
1621,123081.1332
1622,153244.0389
1623,252751.3889
1624,197920.1917
1625,118433.3759
1626,171886.7063
1627,190720.9056
1628,157940.7873
1629,176032.3692
1630,343483.9578
1631,256556.5095
1632,245532.4841
1633,173409.6749
1634,184262.3526
1635,157940.7873
1636,147039.2482
1637,194079.6141
1638,157940.7873
1639,178834.9377
1640,157940.7873
1641,175706.5227
1642,259002.9875
1643,157940.7873
1644,157940.7873
1645,157940.7873
1646,164576.458
1647,160097.1706
1648,157940.7873
1649,157940.7873
1650,108922.9403
1651,115096.8364
1652,96689.33172
1653,93191.07558
1654,142660.6444
1655,126813.2605
1656,140513.8369
1657,151498.5569
1658,146761.6528
1659,128462.6654
1660,157940.7873
1661,443931.6743
1662,380996.9118
1663,376344.7221
1664,530237.6574
1665,331578.3585
1666,322182.394
1667,365892.6106
1668,361741.9616
1669,322071.8853
1670,360022.9349
1671,265596.4087
1672,390167.5288
1673,295264.1039
1674,245453.5525
1675,202510.167
1676,208397.0381
1677,216364.2531
1678,456747.1775
1679,378672.4565
1680,335756.433
1681,285881.4763
1682,320730.8855
1683,194085.5483
1684,171840.3603
1685,167781.3905
1686,163207.2989
1687,158639.3803
1688,183338.3929
1689,186192.1323
1690,157940.7873
1691,157940.7873
1692,157940.7873
1693,169788.1681
1694,182991.1778
1695,165131.5206
1696,157940.7873
1697,174758.2118
1698,340266.8407
1699,157940.7873
1700,273459.1402
1701,157940.7873
1702,237280.8882
1703,234630.5169
1704,264898.3537
1705,249551.2926
1706,208645.2475
1707,230183.1622
1708,206147.8238
1709,245330.1798
1710,223896.1815
1711,273781.3874
1712,253030.4442
1713,276162.0545
1714,217182.8948
1715,208481.3981
1716,188595.9881
1717,183303.035
1718,154334.9561
1719,229087.8583
1720,211066.5598
1721,150314.5829
1722,118652.3166
1723,150831.5328
1724,218830.6475
1725,240973.9722
1726,183843.3673
1727,148007.5185
1728,158444.6603
1729,157940.7873
1730,175703.4156
1731,112620.1432
1732,157940.7873
1733,157940.7873
1734,157940.7873
1735,157940.7873
1736,92482.90467
1737,157940.7873
1738,157940.7873
1739,255360.1085
1740,157940.7873
1741,157940.7873
1742,171921.7275
1743,166484.5849
1744,157940.7873
1745,217798.0488
1746,189846.538
1747,157940.7873
1748,224159.907
1749,131145.654
1750,127551.4812
1751,157940.7873
1752,109278.9675
1753,154756.9006
1754,199095.8504
1755,157940.7873
1756,156769.5921
1757,119077.8195
1758,157940.7873
1759,157940.7873
1760,161515.7408
1761,150848.5862
1762,157940.7873
1763,197523.33
1764,112045.431
1765,166345.4275
1766,184815.5912
1767,217635.4632
1768,140652.1605
1769,157940.7873
1770,154186.8123
1771,121903.8016
1772,131608.6333
1773,112433.7557
1774,151642.704
1775,143414.9416
1776,137442.0207
1777,109080.8682
1778,146037.9506
1779,145024.9728
1780,155081.8313
1781,127722.7988
1782,74662.94432
1783,139755.6967
